Dataset,System,Link,Year,F1
QALD-7,Yu et al.,https://arxiv.org/pdf/2101.01510.pdf,2021,19.23
QALD-7,Luo et al.,https://arxiv.org/pdf/2101.01510.pdf,2021,20.16
QALD-7,GGNN,https://arxiv.org/pdf/2101.01510.pdf,2021,21.1
QALD-7,gGCN,https://arxiv.org/pdf/2101.01510.pdf,2021,24.37
QALD-7,gRGCN,https://arxiv.org/pdf/2101.01510.pdf,2021,30.24
QALD-7,WDAqua-core0,https://arxiv.org/pdf/2105.00811.pdf,2021,29
QALD-7,Qanary(TM+DP+QB),https://arxiv.org/pdf/2105.00811.pdf,2021,6
QALD-7,QASparql,https://arxiv.org/pdf/2105.00811.pdf,2021,17
QALD-7,AskNow,https://arxiv.org/pdf/2105.00811.pdf,2021,15
QALD-7,Platypus,https://arxiv.org/pdf/2105.00811.pdf,2021,8
QALD-7,LingTeQA,https://ieeexplore.ieee.org/abstract/document/9282949,2020,64.2
QALD-8,qaSearch,https://arxiv.org/pdf/1910.09760.pdf,2019,24.4
QALD-8,qaSQP,https://arxiv.org/pdf/1910.09760.pdf,2019,46.1
QALD-8,QAKiS,https://arxiv.org/pdf/1910.09760.pdf,2019,5.6
QALD-8,WDAqua-core0,https://arxiv.org/pdf/1910.09760.pdf,2019,38.7
QALD-8,gAnswer2,https://arxiv.org/pdf/1910.09760.pdf,2019,38.8
QALD-8,WDAqua-core0,https://arxiv.org/pdf/2105.00811.pdf,2021,33
QALD-8,Qanary(TM+DP+QB),https://arxiv.org/pdf/2105.00811.pdf,2021,4
QALD-8,QASparql,https://arxiv.org/pdf/2105.00811.pdf,2021,30
QALD-8,AskNow,https://arxiv.org/pdf/2105.00811.pdf,2021,13
QALD-8,Platypus,https://arxiv.org/pdf/2105.00811.pdf,2021,6
QALD-8,QAKiS,https://link.springer.com/article/10.1007/s13740-021-00128-9,2021,5.63
QALD-8,gAnswer,https://link.springer.com/article/10.1007/s13740-021-00128-9,2021,38.8
QALD-8,WDAqua-core0,https://link.springer.com/article/10.1007/s13740-021-00128-9,2021,38.72
QALD-9,Elon,https://arxiv.org/pdf/1910.09760.pdf,2019,5
QALD-9,QASystem,https://arxiv.org/pdf/1910.09760.pdf,2019,9.8
QALD-9,TeBaQA,https://arxiv.org/pdf/1910.09760.pdf,2019,13
QALD-9,WDAqua-core1,https://arxiv.org/pdf/1910.09760.pdf,2019,25
QALD-9,gAnswer2,https://arxiv.org/pdf/1910.09760.pdf,2019,29.8
QALD-9,qaSearch,https://arxiv.org/pdf/1910.09760.pdf,2019,23.7
QALD-9,qaSQP,https://arxiv.org/pdf/1910.09760.pdf,2019,46.3
QALD-9,WDAqua-core1,https://dl.acm.org/doi/pdf/10.1145/3357384.3358026?casa_token=X_2SYFDIrd8AAAAA:Z9FcBHNuARtktnurgKswRUvVZx7E1eSdRsXWqVIZej6fJDVTcUGVQ-aqazqiStuQKqAd362eKw3CzQ,2019,28
QALD-9,QAmp,https://dl.acm.org/doi/pdf/10.1145/3357384.3358026?casa_token=X_2SYFDIrd8AAAAA:Z9FcBHNuARtktnurgKswRUvVZx7E1eSdRsXWqVIZej6fJDVTcUGVQ-aqazqiStuQKqAd362eKw3CzQ,2019,33
QALD-9,WDAqua-core0,https://arxiv.org/pdf/2105.00811.pdf,2021,32
QALD-9,gAnswer,https://arxiv.org/pdf/2105.00811.pdf,2021,30
QALD-9,Qanary(TM+DP+QB),https://arxiv.org/pdf/2105.00811.pdf,2021,7
QALD-9,QASparql,https://arxiv.org/pdf/2105.00811.pdf,2021,19
QALD-9,AskNow,https://arxiv.org/pdf/2105.00811.pdf,2021,8
QALD-9,WDAqua-core1,https://ojs.aaai.org/index.php/AAAI/article/view/17988,2021,24.99
QALD-9,gAnswer,https://ojs.aaai.org/index.php/AAAI/article/view/17988,2021,29.81
QALD-9,DTQA,https://ojs.aaai.org/index.php/AAAI/article/view/17988,2021,30.88
QALD-9,Elon,https://link.springer.com/article/10.1007/s13740-021-00128-9,2021,5
QALD-9,QASystem,https://link.springer.com/article/10.1007/s13740-021-00128-9,2021,9.8
QALD-9,TeBaQA,,2021,13
QALD-9,WDAqua-core1,https://link.springer.com/article/10.1007/s13740-021-00128-9,2021,25
QALD-9,gAnswer,https://link.springer.com/article/10.1007/s13740-021-00128-9,2021,29.8
QALD-9,WDAqua-core1,https://arxiv.org/pdf/2109.09475.pdf,2021,25
QALD-9,gAnswer,https://arxiv.org/pdf/2109.09475.pdf,2021,29.8
QALD-9,Stage-I No Noise,https://arxiv.org/pdf/2109.09475.pdf,2021,40.9
QALD-9,Stage-I Part Noise,https://arxiv.org/pdf/2109.09475.pdf,2021,22.4
QALD-9,Stage-I Full Noise,https://arxiv.org/pdf/2109.09475.pdf,2021,20.6
QALD-9,Stage-II w/o type,https://arxiv.org/pdf/2109.09475.pdf,2021,23.3
QALD-9,Stage-II w/ type,https://arxiv.org/pdf/2109.09475.pdf,2021,23.3
QALD-9,WDAqua-core1,http://ceur-ws.org/Vol-2980/paper312.pdf,2021,24.99
QALD-9,gAnswer,http://ceur-ws.org/Vol-2980/paper312.pdf,2021,29.81
QALD-9,DTQA,http://ceur-ws.org/Vol-2980/paper312.pdf,2021,30.88
QALD-9,KGQAn,http://ceur-ws.org/Vol-2980/paper312.pdf,2021,41.15
QALD-9,NSQA,https://arxiv.org/pdf/2111.03000.pdf,2021,30.8
QALD-9,NSQA,https://aclanthology.org/2021.findings-acl.339.pdf,2021,31.26
QALD-9,sparql-qa,https://arxiv.org/pdf/2111.03000.pdf,2021,30.6
QALD-9,LingTeQA,https://ieeexplore.ieee.org/abstract/document/9282949,2020,53.5
QALD-9,gAnswer,http://www.semantic-web-journal.net/system/files/swj2701.pdf,2021,29.6
QALD-9,QAnswer,http://www.semantic-web-journal.net/system/files/swj2701.pdf,2021,19.7
QALD-9,TeBaQA,http://www.semantic-web-journal.net/system/files/swj2701.pdf,2021,13.9
LC-QuAD 1.0,LAMA,http://www.semantic-web-journal.net/system/files/swj2537.pdf,2019,81.6
LC-QuAD 1.0,G Maheshwari et. al. Pointwise,https://arxiv.org/pdf/1811.01118.pdf,2019,70
LC-QuAD 1.0,G Maheshwari et. al. Pairwise,https://arxiv.org/pdf/1811.01118.pdf,2019,71
LC-QuAD 1.0,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,85.5
LC-QuAD 1.0,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,71.7
LC-QuAD 1.0,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,82.4
LC-QuAD 1.0,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,72.6
LC-QuAD 1.0,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,72.3
LC-QuAD 1.0,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,74.5
LC-QuAD 1.0,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,73.2
LC-QuAD 1.0,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,80.9
LC-QuAD 1.0,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,76.1
LC-QuAD 1.0,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,71.9
LC-QuAD 1.0,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,74
LC-QuAD 1.0,STaG-QA,https://arxiv.org/abs/2111.05825,2021,51.4
LC-QuAD 1.0,STaG-QA_pre,https://arxiv.org/abs/2111.05825,2021,53.6
LC-QuAD 1.0,NSQA,https://arxiv.org/abs/2111.05825,2021,44.4
LC-QuAD 1.0,QAmp,https://arxiv.org/abs/2111.05825,2021,33
LC-QuAD 1.0,WDAqua-core0,https://arxiv.org/abs/2111.05825,2021,28
LC-QuAD 1.0,WDAqua-core1,https://assets.researchsquare.com/files/rs-70794/v1_stamped.pdf,2021,46
LC-QuAD 1.0,Frankenstein,https://assets.researchsquare.com/files/rs-70794/v1_stamped.pdf,2021,20
LC-QuAD 1.0,Liang et al.,https://assets.researchsquare.com/files/rs-70794/v1_stamped.pdf,2021,68
LC-QuAD 1.0,WDAqua-core0,https://arxiv.org/pdf/2105.00811.pdf,2021,15
LC-QuAD 1.0,Qanary(TM+DP+QB),https://arxiv.org/pdf/2105.00811.pdf,2021,1
LC-QuAD 1.0,QASparql,https://arxiv.org/pdf/2105.00811.pdf,2021,34
LC-QuAD 1.0,AskNow,https://arxiv.org/pdf/2105.00811.pdf,2021,11
LC-QuAD 1.0,WDAqua-core1,https://ojs.aaai.org/index.php/AAAI/article/view/17988,2021,28
LC-QuAD 1.0,QAmp,https://ojs.aaai.org/index.php/AAAI/article/view/17988,2021,33
LC-QuAD 1.0,DTQA,https://ojs.aaai.org/index.php/AAAI/article/view/17988,2021,33.72
LC-QuAD 1.0,QAmp,https://link.springer.com/article/10.1007/s13740-021-00128-9,2021,33
LC-QuAD 1.0,WDAqua-core1,https://link.springer.com/article/10.1007/s13740-021-00128-9,2021,28
LC-QuAD 1.0,WDAqua-core1,https://arxiv.org/pdf/2109.09475.pdf,2021,28
LC-QuAD 1.0,QAmp,https://arxiv.org/pdf/2109.09475.pdf,2021,33.33
LC-QuAD 1.0,Stage-I No Noise,https://arxiv.org/pdf/2109.09475.pdf,2021,83.08
LC-QuAD 1.0,Stage-I Part Noise,https://arxiv.org/pdf/2109.09475.pdf,2021,42.33
LC-QuAD 1.0,Stage-I Full Noise,https://arxiv.org/pdf/2109.09475.pdf,2021,25.59
LC-QuAD 1.0,Stage-II w/o type,https://arxiv.org/pdf/2109.09475.pdf,2021,32.18
LC-QuAD 1.0,Stage-II w/ type,https://arxiv.org/pdf/2109.09475.pdf,2021,37.05
LC-QuAD 1.0,sparql-qa,http://ceur-ws.org/Vol-2918/paper3.pdf,2021,49.1
LC-QuAD 1.0,STAGG,https://arxiv.org/pdf/2111.00732.pdf,2021,69
LC-QuAD 1.0,HR-BiLSTM,https://arxiv.org/pdf/2111.00732.pdf,2021,70
LC-QuAD 1.0,Slot-Matching,https://arxiv.org/pdf/2111.00732.pdf,2021,71
LC-QuAD 1.0,AQG-net,https://arxiv.org/pdf/2111.00732.pdf,2021,74.8
LC-QuAD 1.0,DAM,https://arxiv.org/pdf/2111.00732.pdf,2021,72
LC-QuAD 1.0,S-Ranking,https://arxiv.org/pdf/2111.00732.pdf,2021,69.53
LC-QuAD 1.0,O-Ranking,https://arxiv.org/pdf/2111.00732.pdf,2021,74.81
LC-QuAD 1.0,BART,https://arxiv.org/pdf/2111.00732.pdf,2021,47.62
LC-QuAD 1.0,NHGG,https://arxiv.org/pdf/2111.00732.pdf,2021,46.12
LC-QuAD 1.0,HGNet,https://arxiv.org/pdf/2111.00732.pdf,2021,75.1
LC-QuAD 1.0,SYGMA,https://www.researchgate.net/publication/354950006_SYGMA_System_for_Generalizable_Modular_Question_Answering_OverKnowledge_Bases,2021,47
LC-QuAD 2.0,ElNeuQA-ConvS2S,https://arxiv.org/pdf/2107.02865.pdf,2021,26.9
LC-QuAD 2.0,AQG-net,https://arxiv.org/pdf/2111.06086.pdf,2021,44.9
LC-QuAD 2.0,Multi-hop QGG,https://arxiv.org/pdf/2111.06086.pdf,2021,52.6
LC-QuAD 2.0,Zou et al. + Tencent Word,https://arxiv.org/pdf/2111.06086.pdf,2021,52.9
LC-QuAD 2.0,Zou et al. + Bert,https://arxiv.org/pdf/2111.06086.pdf,2021,59.3
LC-QuAD 2.0,5,https://aclanthology.org/2021.findings-acl.339.pdf,2021,38.29
LC-QuAD 1.0,QAmp,https://aclanthology.org/2021.findings-acl.339.pdf,2021,33
LC-QuAD 1.0 + qald multilingual,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,66.7
LC-QuAD 1.0 + qald multilingual,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,60
LC-QuAD 1.0 + qald multilingual,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,62.2
LC-QuAD 1.0 + qald multilingual,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,62.1
LC-QuAD 1.0 + qald multilingual,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,57.7
LC-QuAD 1.0 + qald multilingual,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,63.5
LC-QuAD 1.0 + qald multilingual,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,63.6
LC-QuAD 1.0 + qald multilingual,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,65.9
LC-QuAD 1.0 + qald multilingual,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,58.8
LC-QuAD 1.0 + qald multilingual,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,62.6
LC-QuAD 1.0 + qald multilingual,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,63.5
LC-QuAD 1.0 + qald multilingual,mBERT,https://aclanthology.org/2021.naacl-main.465.pdf,2021,70
simplequestionwikidata,SYGMA,https://arxiv.org/pdf/2109.13430.pdf,2021,44
simplequestionwikidata,STaG-QA,https://arxiv.org/abs/2111.05825,2021,60.1
simplequestionwikidata,STaG-QA_pre,https://arxiv.org/abs/2111.05825,2021,61.7
